property_id,url,city,property_type,search_page,title,locality,price_display,price_crore,builtup_area_sqft,carpet_area_sqft,bhk,bathrooms,balconies,furnishing,facing,possession_status,floor_number,total_floors,property_age,amenities,description,vaastu_mentioned,vaastu_mentions_text,seller_type,posted_date,last_updated,raw_text_path,raw_html_path
I82589760,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-south-city-1-gurgaon-9500-sq-ft-spid-I82589760,gurgaon,house,1,Home›Property in Gurgaon›House for sale in Gurgaon›House for sale in NH 8›House for sale in South City 1›6 BHK House for sale in South City 1›10 to 20 Cr,"Policies (GST, RERA, PMAY, Budget)","₹16.5 Cr@ 17,368 per sq.ft.",16.5,8400.0,,6.0,7.0,,Semifurnished,South,Ready to move,,,nt tell you about the property,"Security / Fire Alarm | Vaastu Compliant | Private Garden / Terrace | High Ceiling Height | Maintenance Staff | False Ceiling Lighting | Water Storage | Separate entry for servant room | Recently Renovated | Piped-gas | Visitor Parking | Park | Security Guard | Low Density Society | Fitness Centre / GYM | Rain Water Harvesting | Club house | Dealer Details | OPTIMAL REALTY | Gaurav Gupta | FEATURED DEALER | Member Since Nov, 2023 | View Phone Number | Additional Details","2 people shortlisted this property since last week Area Built-up area: 9500 (882.58 sq.m.) Carpet area: 8400 sq.ft. (780.39 sq.m.) sq.ft. Configuration 6 Bedrooms , 7 Bathrooms, 3+ Balconies with Pooja Room,Study Room,Servant Room,Store Room Price ₹ 16.5 Crore+ Govt Charges & Tax @ 17,368 per sq.ft. (All inclusive, Negotiable) View Price Details Address South City 1, Gurgaon Total Floors 3 Floors Facing North-East Overlooking Main Road",1,Vaastu Compliant,Owner,,,raw/detail/gurgaon_house_I82589760.txt,raw/detail/gurgaon_house_I82589760.html
R82588322,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-2700-sq-ft-spid-R82588322,gurgaon,house,1,Home›Property in Gurgaon›House for sale in Gurgaon›House for sale in Golf Course Road›House for sale in DLF Phase 1›5 BHK House for sale in DLF Phase 1›10 to 20 Cr,"Policies (GST, RERA, PMAY, Budget)","₹12.5 Cr@ 4,16,666 per sq.yards",12.5,,,5.0,6.0,3.0,Semifurnished,North-East,Ready to move,,,nt tell you about the property,"Security / Fire Alarm | Vaastu Compliant | Private Garden / Terrace | Centrally Air Conditioned | High Ceiling Height | Maintenance Staff | False Ceiling Lighting | Water Storage | Separate entry for servant room | Piped-gas | Visitor Parking | Park | Security Guard | Low Density Society | Fitness Centre / GYM | Rain Water Harvesting | Club house | DLF Phase 1 Videos | Dealer Details | OPTIMAL REALTY | Optimal Realty | FEATURED DEALER | Member Since Dec, 2022 | View Phone Number | Additional Details","2 people viewed this property yesterday Area Plot area 300 (250.84 sq.m.) sq.yards Configuration 5 Bedrooms , 6 Bathrooms, 3 Balconies with Pooja Room,Servant Room Price ₹ 12.5 Crore+ Govt Charges & Tax @ 4,16,666 per sq.yards (All inclusive) View Price Details Address DLF Phase 1, Gurgaon Total Floors 3 Floors Facing North-East Overlooking Main Road Property Age",1,Vaastu Compliant,Owner,,,raw/detail/gurgaon_house_R82588322.txt,raw/detail/gurgaon_house_R82588322.html
F85886088,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-kashish-manor-one-sector-111-gurgaon-5600-sq-ft-npspid-F85886088,gurgaon,house,1,Home›Property in Gurgaon›House for sale in Gurgaon›House for sale in Dwarka Expressway Gurgaon›House for sale in Sector 111 Gurgaon›5 BHK House for sale in Sector 111 Gurgaon›10 to 20 Cr,"Park Hospital, Palam Vihar",₹9.52Crore,9.52,5600.0,5600.0,5.0,6.0,3.0,,East,Under Construction,,,RERA STATUSREGISTEREDRegistration No: GGM/364/96/2019/58 DATED 24.09.2019Website: https://haryanarera.gov.in/,BASIC | 24/7 Power Backup | 24/7 Water Supply | Car Parking | Children's Play Area | Club House | Fire Fighting Systems | Gymnasium | Lift(s) | InterCom | LIFESTYLE | CONVENIENCE & SECURITY | 24x7 Security | Piped Gas | Vastu Compliant | ENTERTAINMENT & SOCIALIZING | Amphitheatre | Billiards | Card Room | Mini Theatre | Multipurpose Hall | SPORTS & FITNESS | Badminton Court | Basketball Court | Jogging Track | Lawn Tennis Court | Multipurpose Court | Swimming Pool | Yoga/Meditation Area,"Address: Sector 111, Gurgaon",1,Vastu Compliant,Dealer,,,raw/detail/gurgaon_house_F85886088.txt,raw/detail/gurgaon_house_F85886088.html
T88316210,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-nirvana-country-gurgaon-2500-sq-ft-spid-T88316210,gurgaon,house,1,Home›Property in Gurgaon›House for sale in Gurgaon›House for sale in Golf Course Ext Road›House for sale in Nirvana Country›4 BHK House for sale in Nirvana Country›10 to 20 Cr,"Policies (GST, RERA, PMAY, Budget)","₹14.25 Cr@ 43,981 per sq.ft.",14.25,2500.0,,4.0,4.0,2.0,Semifurnished,South,Ready to move,,,nt tell you about the property,Semifurnished | Furnishing Details | 3 Wardrobe | 11 Fan | 1 Exhaust Fan | 4 Geyser | 21 Light | No AC | No Bed | No Chimney | No Curtains | No Dining Table | No Modular Kitchen | No Microwave | No Fridge | No Sofa | No Stove | No TV | No Washing Machine | No Water Purifier | Features | Vaastu Compliant | Private Garden / Terrace | High Ceiling Height | Maintenance Staff | False Ceiling Lighting | Water Storage | Separate entry for servant room | Visitor Parking,"4 people already contacted since last week Area Plot area 3240 (301.01 sq.m.) Built-up area: 2500 sq.ft. (232.26 sq.m.) sq.ft. Configuration 4 Bedrooms , 4 Bathrooms, 2 Balconies with Servant Room,Study Room Price ₹ 14.25 Crore+ Govt Charges & Tax @ 43,981 per sq.ft. (All inclusive, Negotiable) View Price Details Address Nirvana Country, Gurgaon Total Floors 2 Floors Overlooking Park/Garden,Club Property Age 10+ Year Old",1,Vaastu Compliant,Owner,,,raw/detail/gurgaon_house_T88316210.txt,raw/detail/gurgaon_house_T88316210.html
O88716024,https://www.99acres.com/11-bhk-bedroom-independent-house-villa-for-sale-in-block-c-south-city-1-gurgaon-4527-sq-ft-spid-O88716024,gurgaon,house,1,,"Policies (GST, RERA, PMAY, Budget)","₹22.51 Cr@ 4,47,514 per sq.yards",22.51,,,,11.0,,Semifurnished,South,,,,5 to 10 Year Old,"Vaastu Compliant | Private Garden / Terrace | Park | Visitor Parking | Owner Details | Dheeraj Soni | Owner | Dheeraj Soni | Properties Listed:1Verified Properties:1 | Localities : Block C South city 1 | Interesting Reads | Read realty news, guides & articles | Top reasons to invest in HCBS Twin Horizon | Nov 20, 2025 | गुड़गांव: प्रॉपर्टी टैक्स का भुगतान कैसे करें | Jun 21, 2024 | How to pay property tax in Gurgaon? | Apr 27, 2023 | Chintels Paradiso unsafe; to redevelop | Oct 04, 2023 | Property registration process in Gurgaon | Dec 21, 2022 | Why invest in M2K Olive Green Floors? | Jun 17, 2025 | दिल्ली-मुंबई एक्सप्रेसवे की लेटेस्ट अपडेट | Jan 19, 2024 | Delhi Mumbai Expressway: Realty hotspots | Jul 03, 2023 | Latest Circle Rates in Gurgaon","2 people already contacted since last week Area Plot area 503 (420.57 sq.m.) sq.yards Configuration 11 Bedrooms , 11 Bathrooms, 3+ Balconies with Pooja Room,Study Room,Servant Room,Store Room Price ₹ 22.51 Crore @ 4,47,514 per sq.yards (All inclusive, Negotiable) View Price Details Address Block C South city 1, Gurgaon Total Floors 4 Floors Facing South Overlooking Park/Garden,Main Road,Pool,Others Property Age",1,Vaastu Compliant,Owner,,,raw/detail/gurgaon_house_O88716024.txt,raw/detail/gurgaon_house_O88716024.html
